java -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold4/train.txt -ranker 6 -test MSLR-WEB10K/Fold4/test.txt -validate MSLR-WEB10K/Fold4/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold4/train.txt
Test data:	MSLR-WEB10K/Fold4/test.txt
Validation data:	MSLR-WEB10K/Fold4/vali.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 10
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [MSLR-WEB10K/Fold4/train.txt]... [Done.]            
(6000 ranked lists, 718768 entries read)
Reading feature file [MSLR-WEB10K/Fold4/vali.txt]... [Done.]            
(2000 ranked lists, 239093 entries read)
Reading feature file [MSLR-WEB10K/Fold4/test.txt]... [Done.]            
(2000 ranked lists, 242331 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
299     | 0.4329    | 0.4243    | 
300     | 0.433     | 0.4242    | 
301     | 0.4331    | 0.4242    | 
302     | 0.4331    | 0.4242    | 
303     | 0.4331    | 0.4242    | 
304     | 0.4331    | 0.4243    | 
305     | 0.4332    | 0.4244    | 
306     | 0.4334    | 0.4246    | 
307     | 0.4334    | 0.4245    | 
308     | 0.4334    | 0.4246    | 
309     | 0.4334    | 0.4248    | 
310     | 0.4336    | 0.4248    | 
311     | 0.4335    | 0.4247    | 
312     | 0.4336    | 0.4247    | 
313     | 0.4337    | 0.4247    | 
314     | 0.4336    | 0.4247    | 
315     | 0.4336    | 0.425     | 
316     | 0.4335    | 0.425     | 
317     | 0.4337    | 0.4249    | 
318     | 0.4338    | 0.425     | 
319     | 0.4337    | 0.4251    | 
320     | 0.4339    | 0.425     | 
321     | 0.4339    | 0.4248    | 
322     | 0.4339    | 0.4249    | 
323     | 0.434     | 0.4251    | 
324     | 0.4341    | 0.425     | 
325     | 0.4342    | 0.4249    | 
326     | 0.4341    | 0.4249    | 
327     | 0.4342    | 0.425     | 
328     | 0.4342    | 0.4249    | 
329     | 0.4342    | 0.4253    | 
330     | 0.4342    | 0.4255    | 
331     | 0.4341    | 0.4254    | 
332     | 0.4342    | 0.4252    | 
333     | 0.4343    | 0.4252    | 
334     | 0.4344    | 0.4252    | 
335     | 0.4344    | 0.425     | 
336     | 0.4344    | 0.4249    | 
337     | 0.4345    | 0.4247    | 
338     | 0.4344    | 0.4248    | 
339     | 0.4344    | 0.4248    | 
340     | 0.4344    | 0.425     | 
341     | 0.4343    | 0.425     | 
342     | 0.4344    | 0.4252    | 
343     | 0.4347    | 0.4255    | 
344     | 0.4347    | 0.4255    | 
345     | 0.4346    | 0.4255    | 
346     | 0.4346    | 0.4253    | 
347     | 0.4347    | 0.4252    | 
348     | 0.4346    | 0.4255    | 
349     | 0.4347    | 0.4254    | 
350     | 0.4347    | 0.4254    | 
351     | 0.4347    | 0.4254    | 
352     | 0.4347    | 0.4251    | 
353     | 0.4348    | 0.4251    | 
354     | 0.4349    | 0.425     | 
355     | 0.435     | 0.4253    | 
356     | 0.4352    | 0.4254    | 
357     | 0.4352    | 0.4256    | 
358     | 0.4352    | 0.4256    | 
359     | 0.4352    | 0.4253    | 
360     | 0.4354    | 0.4253    | 
361     | 0.4353    | 0.4252    | 
362     | 0.4353    | 0.4252    | 
363     | 0.4353    | 0.4251    | 
364     | 0.4353    | 0.425     | 
365     | 0.4354    | 0.425     | 
366     | 0.4354    | 0.4249    | 
367     | 0.4357    | 0.425     | 
368     | 0.4356    | 0.425     | 
369     | 0.4357    | 0.425     | 
370     | 0.4356    | 0.4251    | 
371     | 0.4355    | 0.4251    | 
372     | 0.4356    | 0.425     | 
373     | 0.4357    | 0.425     | 
374     | 0.4358    | 0.425     | 
375     | 0.4358    | 0.4253    | 
376     | 0.436     | 0.4256    | 
377     | 0.4361    | 0.4254    | 
378     | 0.4361    | 0.4252    | 
379     | 0.436     | 0.4252    | 
380     | 0.4361    | 0.4252    | 
381     | 0.4362    | 0.4254    | 
382     | 0.4362    | 0.4252    | 
383     | 0.4362    | 0.4251    | 
384     | 0.4362    | 0.4251    | 
385     | 0.4363    | 0.4251    | 
386     | 0.4363    | 0.4251    | 
387     | 0.4363    | 0.425     | 
388     | 0.4363    | 0.425     | 
389     | 0.4363    | 0.425     | 
390     | 0.4362    | 0.4251    | 
391     | 0.4363    | 0.4253    | 
392     | 0.4364    | 0.4253    | 
393     | 0.4364    | 0.4251    | 
394     | 0.4367    | 0.4252    | 
395     | 0.4366    | 0.4252    | 
396     | 0.4366    | 0.4252    | 
397     | 0.4366    | 0.4251    | 
398     | 0.4368    | 0.4251    | 
399     | 0.4367    | 0.4252    | 
400     | 0.4365    | 0.4252    | 
401     | 0.4365    | 0.4253    | 
402     | 0.4366    | 0.4254    | 
403     | 0.4365    | 0.4253    | 
404     | 0.4365    | 0.4252    | 
405     | 0.4366    | 0.4252    | 
406     | 0.4366    | 0.425     | 
407     | 0.4365    | 0.4249    | 
408     | 0.4367    | 0.4251    | 
409     | 0.4367    | 0.4251    | 
410     | 0.4367    | 0.4251    | 
